Sep. 10,Prospect,Team,age,type,Aug. 10,July 10
1,Rasmus Dahlin,BUF,d,91.3,1,1
2,Cale Makar,COL,d,71.7,2,2
3,Quinn Hughes,VAN,d,70,3,4
4,Samuel Girard,COL,d,69,4,3
5,Miro Heiskanen,DAL,d,68.4,6,8
6,Adam Boqvist,CHI,d,66.5,7,7
7,Thomas Chabot,OTT,d,66.4,8,5
8,Juuso Valimaki,CGY,d,63.9,9,10
9,Timothy Liljegren,TOR,d,63.5,10,9
10,Evan Bouchard,EDM,d,62.6,11,11
11,Erik Brannstrom,VGK,d,61.7,12,14
12,Henri Jokiharju,CHI,d,61.7,13,15
13,Julius Honka,DAL,d,60.3,15,13
14,Tony DeAngelo,NYR,d,58.9,16,16
15,Conor Timmins,COL,d,58,17,20
16,Rasmus Andersson,CGY,d,57.9,18,18
17,Victor Mete,MON,d,57.7,19,17
18,Dante Fabbro,NSH,d,57.7,20,22
19,Noah Dobson,NYI,d,57.2,21,19
20,Travis Sanheim,PHI,d,56.9,22,21
21,Christian Djoos,WAS,d,55.8,23,23
22,Kale Clague,LAK,d,55.3,24,25
23,Madison Bowey,WAS,d,55.2,25,24
24,Brendan Guhle,BUF,d,55.1,26,26
25,Olli Juolevi,VAN,d,54.9,27,27
26,Adam Fox,CAR,d,54.2,28,28
27,Travis Dermott,TOR,d,53.8,29,29
28,Jordan Schmaltz,STL,d,53.4,30,30
29,Sebastian Aho (d),NYI,d,53.2,31,35
30,Sami Niku,WPG,d,52.5,41,40
31,Filip Hronek,DET,d,52.5,40,39
32,Gustav Forsling,CHI,d,52.4,32,31
33,Libor Hajek,NYR,d,51.9,33,32
34,Noah Juulsen,MON,d,50.5,34,33
35,Ethan Bear,EDM,d,49.3,35,44
36,Jake Walman,STL,d,49.3,36,34
37,Oliver Kylington,CGY,d,48.8,37,36
38,Pierre-Olivier Joseph,ARI,d,48.8,38,37
39,Ryan Merkley,SJS,d,48.7,39,38
40,Devon Toews,NYI,d,47.7,51,51
41,Ty Smith,NJD,d,47.1,42,41
42,Cal Foote,TBL,d,46.4,43,42
43,Gabriel Carlsson,CBJ,d,46,44,43
44,Philippe Myers,PHI,d,45.7,45,45
45,K'Andre Miller,NYR,d,45.6,46,46
46,Daniel Brickley,LAK,d,45.3,62,59
47,Kyle Capobianco,ARI,d,45.3,47,47
48,Louie Belpedio,MIN,d,45.3,48,48
49,Rasmus Sandin,TOR,d,45.2,49,49
50,Jake Bean,CAR,d,45.1,50,50